code_ind,ind_num,site,locality,site_code,year,month,genus,species_name,species,subgenus,age,sex,length_mm,mass_g,gps_prefix,gps_num,capture_gps_code,transect,capture_date,capture_time,capture_notes,release_date,release_time,processing_date,vp_time,vp_site,dbs_size,physical_exam,blood_sample_dbs,whole_body_specimen,photo,body_color,dorsal,ventral,other,observation
NMB.F.2025.07.011,11,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,70,36,,Capture 11,Capture 11,T6,08-Jul-25,18:25,,09-Jul-25,11:38,08-Jul-25,9:36,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.012,12,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,45,4,,Capture 12,Capture 12,T6,08-Jul-25,18:29,,09-Jul-25,11:37,08-Jul-25,9:40,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.013,13,Nosy Mangabe,,NMB,2025,7,,,Platypelis grandis,,Adult,F,70,21,,Capture 13,Capture 13,T6,08-Jul-25,18:31,,09-Jul-25,11:36,08-Jul-25,9:56,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.014,14,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus charlotteae,,Sub-adult,M,43,5,,Capture 14,Capture 14,T7,08-Jul-25,18:38,,09-Jul-25,11:33,08-Jul-25,10:18,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.015,15,Nosy Mangabe,,NMB,2025,7,,,NA,,Juvenile,NA,35,4,,Capture 15,Capture 15,T7,08-Jul-25,18:43,,09-Jul-25,11:33,NA,NA,NA,NA,5,0,,N,,,,,"No blood sample, released (too small)"
NMB.F.2025.07.016,16,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus biporus,,Sub-adult,M,45,5,,Capture 16,Capture 16,T8,08-Jul-25,18:55,,09-Jul-25,11:30,08-Jul-25,10:26,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.017,17,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus biporus,,Adult,F,50,8,,Capture 17,Capture 17,T9,08-Jul-25,19:03,,09-Jul-25,11:30,08-Jul-25,10:31,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.018,18,Nosy Mangabe,,NMB,2025,7,,,Mantella betsileo,,Adult,M,35,3,,Capture 18,Capture 18,T9,08-Jul-25,19:07,,09-Jul-25,11:27,08-Jul-25,10:33,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.019,19,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,F,45,5,,Capture 19,Capture 19,T9,08-Jul-25,19:11,,09-Jul-25,11:27,08-Jul-25,10:39,F.V.,Very small,5,1,,N,,,,,
NMB.F.2025.07.020,20,Nosy Mangabe,,NMB,2025,7,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,"No sample, escaped"
NMB.F.2025.07.021,21,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,95,75,,Capture 21,Capture 21,T10,08-Jul-25,19:20,,09-Jul-25,11:22,08-Jul-25,10:55,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.022,22,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,F,45,6,,T3 S,T3 S,T3,08-Jul-25,11:00,,09-Jul-25,11:22,08-Jul-25,11:00,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.023,23,Nosy Mangabe,,NMB,2025,7,,,Plethodontohyla notosticta,,Adult,F,50,7,,T3 S,T3 S,T3,08-Jul-25,NA,,09-Jul-25,11:22,08-Jul-25,11:04,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.024,24,Nosy Mangabe,,NMB,2025,7,,,Mantella betsileo,,Adult,M,35,2,,T13 S,T13 S,T13,NA,17:12,,NA,11:00,NA,NA,NA,NA,5,0,,N,,,,,"No blood sample, released (too small)"
NMB.F.2025.07.025,25,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,50,9,,T25 S,T25 S,T25,09-Jul-25,17:45,,10-Jul-25,11:05,10-Jul-25,20:15,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.026,26,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,50,8,,T25 S,T25 S,T25,09-Jul-25,17:54,,10-Jul-25,11:06,10-Jul-25,20:18,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.027,27,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,46,6,,T25 S,T25 S,T25,09-Jul-25,18:13,,10-Jul-25,11:06,10-Jul-25,20:20,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.028,28,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,44,5,,T33 S,T33 S,T33,09-Jul-25,18:18,,10-Jul-25,11:06,10-Jul-25,20:23,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.029,29,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,F,49,7,,15,15,T1,09-Jul-25,18:40,,10-Jul-25,10:00,10-Jul-25,20:28,F.V.,Large,5,1,,N,,,,,Gravid female
NMB.F.2025.07.030,30,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,M,46,4,,15,15,T1,09-Jul-25,18:43,,10-Jul-25,10:00,10-Jul-25,20:32,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.031,31,Nosy Mangabe,,NMB,2025,7,,,Platypelis grandis,,Adult,F,64,19,,15,15,T1,09-Jul-25,18:43,,10-Jul-25,10:00,10-Jul-25,20:35,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.032,32,Nosy Mangabe,,NMB,2025,7,,,Stumpffia grandis,,Adult,M,31,3,,NA,NA,TC,09-Jul-25,18:58,,10-Jul-25,9:10,10-Jul-25,20:38,F.V.,NA,5,1,,N,,,,,"No blood sample, released (too small)"
NMB.F.2025.07.033,33,Nosy Mangabe,,NMB,2025,7,,,Plethodontohyla notosticta,,Adult,F,42,9,,NA,NA,TC,09-Jul-25,19:00,,10-Jul-25,9:10,10-Jul-25,20:41,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.034,34,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,76,40,,NA,NA,TC,09-Jul-25,19:05,,10-Jul-25,9:10,10-Jul-25,20:45,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.035,35,Nosy Mangabe,,NMB,2025,7,,,Mantella betsileo,,Juvenile,M,30,3,,Capture 35,Capture 35,T10,NA,10:38,,NA,17:49,NA,NA,NA,NA,5,0,,N,,,,,"No blood sample, released (too small)"
NMB.F.2025.07.036,36,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,50,50,,Capture 36,Capture 36,T10,10-Jul-25,10:42,,11-Jul-25,17:49,11-Jul-25,12:30,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.037,37,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus biporus,,Adult,F,45,6,,T10 NW,T10 NW,T10,10-Jul-25,10:47,,11-Jul-25,17:49,11-Jul-25,12:35,F.V.,Medium,5,1,,N,,,,,"Subpopn ""Andranofotsy"""
NMB.F.2025.07.038,38,Nosy Mangabe,,NMB,2025,7,,,Mantella betsileo,,Adult,M,35,3,,T11 NW,T11 NW,T11,10-Jul-25,10:52,,11-Jul-25,18:00,11-Jul-25,12:38,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.039,39,Nosy Mangabe,,NMB,2025,7,,,Mantella betsileo,,Adult,M,33,3,,T11 NW,T11 NW,T11,NA,10:56,,NA,18:00,NA,NA,NA,NA,5,0,,N,,,,,"No blood sample, released (too small)"
NMB.F.2025.07.040,40,Nosy Mangabe,,NMB,2025,7,,,Mantella laevigata,,Adult,M,30,3,,T13 NW,T13 NW,T13,10-Jul-25,11:03,,11-Jul-25,18:10,11-Jul-25,13:50,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.041,41,Nosy Mangabe,,NMB,2025,7,,,Mantella laevigata,,Adult,M,30,3,,T17 NW,T17 NW,T17,10-Jul-25,11:21,,11-Jul-25,18:46,11-Jul-25,13:54,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.042,42,Nosy Mangabe,,NMB,2025,7,,,Mantella betsileo,,Adult,M,35,4,,T7 NE,T7 NE,T7,10-Jul-25,11:26,,11-Jul-25,18:50,11-Jul-25,14:00,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.043,43,Nosy Mangabe,,NMB,2025,7,,,Mantella betsileo,,Adult,M,35,3,,T7 NE,T7 NE,T7,NA,11:30,,NA,18:50,NA,NA,NA,NA,5,0,,N,,,,,"No blood sample, released (too small)"
NMB.F.2025.07.044,44,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,55,8,,T9 S,T9 S,T9,10-Jul-25,17:35,,11-Jul-25,8:54,11-Jul-25,20:20,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.045,45,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,50,8,,T9 S,T9 S,T9,10-Jul-25,17:37,,11-Jul-25,8:55,11-Jul-25,20:23,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.046,46,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,40,6,,T9 S,T9 S,T9,10-Jul-25,17:41,,11-Jul-25,8:56,11-Jul-25,20:25,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.047,47,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,M,42,4,,T9 S,T9 S,T9,10-Jul-25,17:43,,11-Jul-25,8:57,11-Jul-25,20:30,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.048,48,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,66,26,,T9 S,T9 S,T9,10-Jul-25,17:45,,11-Jul-25,8:58,11-Jul-25,20:35,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.049,49,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Juvenile,M,50,8,,T9 S,T9 S,T9,10-Jul-25,17:46,,11-Jul-25,9:00,11-Jul-25,20:39,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.050,50,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,85,49,,T9 S,T9 S,T9,10-Jul-25,17:50,,11-Jul-25,9:01,11-Jul-25,20:42,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.051,51,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,49,6,,T10 S,T10 S,T10,10-Jul-25,17:57,,11-Jul-25,9:02,11-Jul-25,20:47,F.V.,Small,5,1,,N,,,,,Blood volume: Only 2 drops
NMB.F.2025.07.052,52,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,70,30,,T13 S,T13 S,T13,10-Jul-25,18:09,,11-Jul-25,9:09,11-Jul-25,20:50,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.053,53,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Juvenile,M,57,13,,T14 S,T14 S,T14,10-Jul-25,18:17,,11-Jul-25,9:10,11-Jul-25,20:54,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.054,54,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,58,17,,T14 S,T14 S,T14,10-Jul-25,18:21,,11-Jul-25,9:12,11-Jul-25,20:57,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.055,55,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,65,26,,T14 S,T14 S,T14,10-Jul-25,18:23,,11-Jul-25,9:13,11-Jul-25,21:02,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.056,56,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus biporus,,Adult,M,44,7,,T14 S,T14 S,T14,10-Jul-25,18:25,,11-Jul-25,9:13,11-Jul-25,21:04,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.057,57,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,M,50,10,,T14 S,T14 S,T14,10-Jul-25,18:28,,11-Jul-25,9:13,11-Jul-25,21:07,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.058,58,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,47,6,,T15 S,T15 S,T15,10-Jul-25,18:30,,11-Jul-25,9:18,11-Jul-25,21:10,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.059,59,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Juvenile,F,39,5,,T15 S,T15 S,T15,10-Jul-25,18:42,,11-Jul-25,9:18,11-Jul-25,21:14,F.V.,Small,5,1,,N,,,,,Blood volume: Only 1 drop
NMB.F.2025.07.060,60,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,52,9,,T16 S,T16 S,T16,10-Jul-25,18:46,,11-Jul-25,9:19,11-Jul-25,21:16,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.061,61,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,45,5,,T16 S,T16 S,T16,10-Jul-25,18:48,,11-Jul-25,9:20,11-Jul-25,21:18,F.V.,Small,5,1,,N,,,,,Blood volume: Only 1 drop
NMB.F.2025.07.062,62,Nosy Mangabe,,NMB,2025,7,,,Mantella betsileo,,Adult,M,30,2,,T7 NE,T7 NE,T7,10-Jul-25,18:56,,11-Jul-25,11:37,11-Jul-25,NA,NA,NA,5,0,,N,,,,,Whole body collected
NMB.F.2025.07.063,63,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus biporus,,Adult,F,32,3,,T7 NE,T7 NE,T7,NA,18:59,,NA,11:37,NA,NA,NA,NA,5,0,,N,,,,,"No blood sample, released (too small)"
NMB.F.2025.07.064,64,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,49,9,,T7 NE,T7 NE,T7,10-Jul-25,18:59,,11-Jul-25,11:37,11-Jul-25,21:22,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.065,65,Nosy Mangabe,,NMB,2025,7,,,Plethodontohyla notosticta,,Adult,F,46,7,,NA,NA,T7,10-Jul-25,19:05,,11-Jul-25,11:37,11-Jul-25,21:27,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.066,66,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus biporus,,Adult,M,44,6,,NA,NA,T7,10-Jul-25,19:09,,11-Jul-25,11:37,11-Jul-25,21:30,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.067,67,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,85,58,,NA,NA,TC,10-Jul-25,19:11,,11-Jul-25,8:47,11-Jul-25,21:32,F.V.,Large,5,1,,N,,,,,Enough blood volume for 2 spots
NMB.F.2025.07.068,68,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,107,104,,NA,NA,NA,10-Jul-25,18:18,,11-Jul-25,11:35,11-Jul-25,21:35,F.V.,Large,5,1,,N,,,,,Enough blood volume for 2 spots
NMB.F.2025.07.069,69,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,103,104,,NA,NA,NA,10-Jul-25,18:18,,11-Jul-25,11:35,11-Jul-25,21:41,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.070,70,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,85,58,,NA,NA,NA,10-Jul-25,18:18,,11-Jul-25,11:35,11-Jul-25,21:44,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.071,71,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,45,5,,T6 NE,T6 NE,T6,11-Jul-25,17:34,,12-Jul-25,9:33,12-Jul-25,21:10,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.072,72,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,45,5,,T6 NE,T6 NE,T6,11-Jul-25,17:36,,12-Jul-25,9:33,12-Jul-25,21:12,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.073,73,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,M,39,4,,T6 NE,T6 NE,T6,11-Jul-25,17:40,,12-Jul-25,9:31,12-Jul-25,21:15,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.074,74,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus biporus,,Adult,M,40,8,,T6 NE,T6 NE,T6,11-Jul-25,17:43,,12-Jul-25,9:32,12-Jul-25,21:20,F.V.,Small,5,1,,N,,,,,Blood volume: Only 2 drops
NMB.F.2025.07.075,75,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,46,5,,T6 NE,T6 NE,T6,11-Jul-25,17:44,,12-Jul-25,9:32,12-Jul-25,21:21,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.076,76,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,M,43,5,,T6 NE,T6 NE,T6,11-Jul-25,17:44,,12-Jul-25,9:32,12-Jul-25,21:25,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.077,77,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,M,45,8,,T6 NE,T6 NE,T6,11-Jul-25,17:46,,12-Jul-25,9:32,12-Jul-25,21:26,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.078,78,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,M,45,7,,T5 NE,T5 NE,T5,11-Jul-25,17:51,,12-Jul-25,9:27,12-Jul-25,21:29,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.079,79,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,45,6,,T6 NE,T6 NE,T6,11-Jul-25,17:54,,12-Jul-25,9:28,12-Jul-25,21:31,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.080,80,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,42,6,,T6 NE,T6 NE,T6,11-Jul-25,17:55,,12-Jul-25,9:28,12-Jul-25,21:34,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.081,81,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,42,5,,T6 NE,T6 NE,T6,11-Jul-25,17:56,,12-Jul-25,9:29,12-Jul-25,21:37,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.082,82,Nosy Mangabe,,NMB,2025,7,,,Platypelis grandis,,Adult,F,64,21,,T6 NE,T6 NE,T6,11-Jul-25,18:00,,12-Jul-25,9:34,12-Jul-25,21:40,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.083,83,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,51,8,,T16 NW,T16 NW,T16,11-Jul-25,18:04,,12-Jul-25,9:36,12-Jul-25,21:42,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.084,84,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,51,8,,T16 NW,T16 NW,T16,11-Jul-25,18:06,,12-Jul-25,9:37,12-Jul-25,21:43,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.085,85,Nosy Mangabe,,NMB,2025,7,,,Platypelis grandis,,Adult,M,40,4,,T15 NW,T15 NW,T15,11-Jul-25,18:12,,12-Jul-25,9:40,12-Jul-25,21:48,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.086,86,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,79,39,,T15 NW,T15 NW,T15,11-Jul-25,18:14,,12-Jul-25,9:40,12-Jul-25,21:49,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.087,87,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,F,67,16,,T15 NW,T15 NW,T15,11-Jul-25,18:16,,12-Jul-25,9:41,12-Jul-25,21:54,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.088,88,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,F,64,20,,T15 NW,T15 NW,T15,11-Jul-25,18:20,,12-Jul-25,9:41,12-Jul-25,21:58,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.089,89,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus sp,,Adult,M,44,5,,T15 NW,T15 NW,T15,11-Jul-25,18:22,,12-Jul-25,9:44,12-Jul-25,22:01,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.090,90,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus biporus,,Adult,M,44,5,,T14 NW,T14 NW,T14,11-Jul-25,18:26,,12-Jul-25,9:44,12-Jul-25,22:03,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.091,91,Nosy Mangabe,,NMB,2025,7,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:29,,NA,NA,NA,NA,NA,NA,5,0,,N,,,,,Escaped
NMB.F.2025.07.092,92,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,65,29,,T13 NW,T13 NW,T13,11-Jul-25,18:40,,12-Jul-25,9:56,12-Jul-25,22:08,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.093,93,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Juvenile,M,60,21,,T13 NW,T13 NW,T13,11-Jul-25,18:48,,12-Jul-25,9:56,12-Jul-25,22:11,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.094,94,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,73,43,,T13 NW,T13 NW,T13,11-Jul-25,18:49,,12-Jul-25,9:56,12-Jul-25,22:14,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.095,95,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Adult,M,69,27,,T13 NW,T13 NW,T13,11-Jul-25,18:51,,12-Jul-25,9:56,12-Jul-25,22:16,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.096,96,Nosy Mangabe,,NMB,2025,7,,,Mantella laevigata,,Adult,M,27,2,,NA,NA,T6,NA,19:15,,NA,8:48,NA,NA,NA,NA,5,0,,N,,,,,"No blood sample, released (too small)"
NMB.F.2025.07.097,97,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,43,5,,T1 S,T1 S,T1,12-Jul-25,17:35,,13-Jul-25,5:19,13-Jul-25,20:30,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.098,98,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus betsileanus,,Adult,M,41,6,,T9 S,T9 S,T9,12-Jul-25,18:03,,13-Jul-25,5:40,13-Jul-25,20:33,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.099,99,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus betsileanus,,Adult,M,43,7,,T9 S,T9 S,T9,12-Jul-25,18:06,,13-Jul-25,5:40,13-Jul-25,20:35,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.100,100,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus biporus,,Adult,F,47,9,,T10 S,T10 S,T10,12-Jul-25,18:08,,13-Jul-25,5:45,13-Jul-25,20:38,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.101,101,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,49,7,,T10 S,T10 S,T10,12-Jul-25,18:13,,13-Jul-25,5:45,13-Jul-25,20:44,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.102,102,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,53,5,,T10 S,T10 S,T10,12-Jul-25,18:15,,13-Jul-25,5:48,13-Jul-25,20:47,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.103,103,Nosy Mangabe,,NMB,2025,7,,,Platypelis grandis,,Adult,F,46,8,,T10 S,T10 S,T10,12-Jul-25,18:15,,13-Jul-25,5:48,13-Jul-25,20:50,F.V.,Large,5,1,,N,,,,,
